Field Name,Type,Parent,API
"mainIndex","Int","Pool","balancerAvalanche"
"wrappedIndex","Int","Pool","balancerAvalanche"
"lowerTarget","BigDecimal","Pool","balancerAvalanche"
"upperTarget","BigDecimal","Pool","balancerAvalanche"
"sqrtAlpha","BigDecimal","Pool","balancerAvalanche"
"sqrtBeta","BigDecimal","Pool","balancerAvalanche"
"root3Alpha","BigDecimal","Pool","balancerAvalanche"
"c","BigDecimal","Pool","balancerAvalanche"
"s","BigDecimal","Pool","balancerAvalanche"
"tauAlphaX","BigDecimal","Pool","balancerAvalanche"
"tauAlphaY","BigDecimal","Pool","balancerAvalanche"
"tauBetaX","BigDecimal","Pool","balancerAvalanche"
"tauBetaY","BigDecimal","Pool","balancerAvalanche"
"u","BigDecimal","Pool","balancerAvalanche"
"v","BigDecimal","Pool","balancerAvalanche"
"w","BigDecimal","Pool","balancerAvalanche"
"z","BigDecimal","Pool","balancerAvalanche"
"dSq","BigDecimal","Pool","balancerAvalanche"
"alpha","BigDecimal","Pool","balancerAvalanche"
"beta","BigDecimal","Pool","balancerAvalanche"
"lambda","BigDecimal","Pool","balancerAvalanche"
"delta","BigDecimal","Pool","balancerAvalanche"
"epsilon","BigDecimal","Pool","balancerAvalanche"
"isInRecoveryMode","Boolean","Pool","balancerAvalanche"
"protocolSwapFeeCache","BigDecimal","Pool","balancerAvalanche"
"protocolYieldFeeCache","BigDecimal","Pool","balancerAvalanche"
"protocolAumFeeCache","BigDecimal","Pool","balancerAvalanche"
"totalProtocolFeePaidInBPT","BigDecimal","Pool","balancerAvalanche"
"lastJoinExitAmp","BigInt","Pool","balancerAvalanche"
"lastPostJoinExitInvariant","BigDecimal","Pool","balancerAvalanche"
"protocolId","Int","Pool","balancerAvalanche"
"protocolIdData","ProtocolIdData","Pool","balancerAvalanche"
"id","ID","PoolContract","balancerAvalanche"
"pool","Pool","PoolContract","balancerAvalanche"
"id","ID","PoolHistoricalLiquidity","balancerAvalanche"
"poolId","Pool","PoolHistoricalLiquidity","balancerAvalanche"
"poolTotalShares","BigDecimal","PoolHistoricalLiquidity","balancerAvalanche"
"poolLiquidity","BigDecimal","PoolHistoricalLiquidity","balancerAvalanche"
"poolShareValue","BigDecimal","PoolHistoricalLiquidity","balancerAvalanche"
"pricingAsset","Bytes","PoolHistoricalLiquidity","balancerAvalanche"
"block","BigInt","PoolHistoricalLiquidity","balancerAvalanche"
"id","ID","PoolShare","balancerAvalanche"
"userAddress","User","PoolShare","balancerAvalanche"
"poolId","Pool","PoolShare","balancerAvalanche"
"balance","BigDecimal","PoolShare","balancerAvalanche"
"id","ID","PoolSnapshot","balancerAvalanche"
"pool","Pool","PoolSnapshot","balancerAvalanche"
"amounts","Unknown","PoolSnapshot","balancerAvalanche"
"totalShares","BigDecimal","PoolSnapshot","balancerAvalanche"
"swapVolume","BigDecimal","PoolSnapshot","balancerAvalanche"
"protocolFee","BigDecimal","PoolSnapshot","balancerAvalanche"
"swapFees","BigDecimal","PoolSnapshot","balancerAvalanche"
"liquidity","BigDecimal","PoolSnapshot","balancerAvalanche"
"swapsCount","BigInt","PoolSnapshot","balancerAvalanche"
"holdersCount","BigInt","PoolSnapshot","balancerAvalanche"
"timestamp","Int","PoolSnapshot","balancerAvalanche"
"id","ID","PoolToken","balancerAvalanche"
"poolId","Pool","PoolToken","balancerAvalanche"
"token","Token","PoolToken","balancerAvalanche"
"assetManager","Bytes","PoolToken","balancerAvalanche"
"symbol","String","PoolToken","balancerAvalanche"
"name","String","PoolToken","balancerAvalanche"
"decimals","Int","PoolToken","balancerAvalanche"
"index","Int","PoolToken","balancerAvalanche"
"address","String","PoolToken","balancerAvalanche"
"oldPriceRate","BigDecimal","PoolToken","balancerAvalanche"
"priceRate","BigDecimal","PoolToken","balancerAvalanche"
