Field Name,Type,Parent,API
"volumeUSD","BigDecimal","PoolHourData","uniswap"
"feesUSD","BigDecimal","PoolHourData","uniswap"
"txCount","BigInt","PoolHourData","uniswap"
"open","BigDecimal","PoolHourData","uniswap"
"high","BigDecimal","PoolHourData","uniswap"
"low","BigDecimal","PoolHourData","uniswap"
"close","BigDecimal","PoolHourData","uniswap"
"id","ID","Position","uniswap"
"owner","Bytes","Position","uniswap"
"pool","Pool","Position","uniswap"
"token0","Token","Position","uniswap"
"token1","Token","Position","uniswap"
"tickLower","Tick","Position","uniswap"
"tickUpper","Tick","Position","uniswap"
"liquidity","BigInt","Position","uniswap"
"depositedToken0","BigDecimal","Position","uniswap"
"depositedToken1","BigDecimal","Position","uniswap"
"withdrawnToken0","BigDecimal","Position","uniswap"
"withdrawnToken1","BigDecimal","Position","uniswap"
"collectedFeesToken0","BigDecimal","Position","uniswap"
"collectedFeesToken1","BigDecimal","Position","uniswap"
"transaction","Transaction","Position","uniswap"
"feeGrowthInside0LastX128","BigInt","Position","uniswap"
"feeGrowthInside1LastX128","BigInt","Position","uniswap"
"id","ID","PositionSnapshot","uniswap"
"owner","Bytes","PositionSnapshot","uniswap"
"pool","Pool","PositionSnapshot","uniswap"
"position","Position","PositionSnapshot","uniswap"
"blockNumber","BigInt","PositionSnapshot","uniswap"
"timestamp","BigInt","PositionSnapshot","uniswap"
"liquidity","BigInt","PositionSnapshot","uniswap"
"depositedToken0","BigDecimal","PositionSnapshot","uniswap"
"depositedToken1","BigDecimal","PositionSnapshot","uniswap"
"withdrawnToken0","BigDecimal","PositionSnapshot","uniswap"
"withdrawnToken1","BigDecimal","PositionSnapshot","uniswap"
"collectedFeesToken0","BigDecimal","PositionSnapshot","uniswap"
"collectedFeesToken1","BigDecimal","PositionSnapshot","uniswap"
"transaction","Transaction","PositionSnapshot","uniswap"
"feeGrowthInside0LastX128","BigInt","PositionSnapshot","uniswap"
"feeGrowthInside1LastX128","BigInt","PositionSnapshot","uniswap"
"factory","Factory","Query","uniswap"
"factories","Unknown","Query","uniswap"
"bundle","Bundle","Query","uniswap"
"bundles","Unknown","Query","uniswap"
"token","Token","Query","uniswap"
"tokens","Unknown","Query","uniswap"
"pool","Pool","Query","uniswap"
"pools","Unknown","Query","uniswap"
"tick","Tick","Query","uniswap"
