Field Name,Type,Parent,Depth,API,Description
"feeGrowthGlobal1X128","BigInt","null","0","quickswap",""
"tvlUSD","BigDecimal","null","0","quickswap",""
"feesToken0","BigDecimal","null","0","quickswap",""
"feesToken1","BigDecimal","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"open","BigDecimal","null","0","quickswap",""
"high","BigDecimal","null","0","quickswap",""
"low","BigDecimal","null","0","quickswap",""
"close","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"pool","String","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"fee","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"periodStartUnix","Int","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"liquidity","BigInt","null","0","quickswap",""
"sqrtPrice","BigInt","null","0","quickswap",""
"token0Price","BigDecimal","null","0","quickswap",""
"token1Price","BigDecimal","null","0","quickswap",""
"tick","BigInt","null","0","quickswap",""
"feeGrowthGlobal0X128","BigInt","null","0","quickswap",""
"feeGrowthGlobal1X128","BigInt","null","0","quickswap",""
"tvlUSD","BigDecimal","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"open","BigDecimal","null","0","quickswap",""
"high","BigDecimal","null","0","quickswap",""
"low","BigDecimal","null","0","quickswap",""
"close","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"owner","Bytes","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"token0","Token","null","0","quickswap",""
"token1","Token","null","0","quickswap",""
"tickLower","Tick","null","0","quickswap",""
"tickUpper","Tick","null","0","quickswap",""
"liquidity","BigInt","null","0","quickswap",""
"depositedToken0","BigDecimal","null","0","quickswap",""
"depositedToken1","BigDecimal","null","0","quickswap",""
"withdrawnToken0","BigDecimal","null","0","quickswap",""
"withdrawnToken1","BigDecimal","null","0","quickswap",""
"collectedToken0","BigDecimal","null","0","quickswap",""
"collectedToken1","BigDecimal","null","0","quickswap",""
"collectedFeesToken0","BigDecimal","null","0","quickswap",""
"collectedFeesToken1","BigDecimal","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"feeGrowthInside0LastX128","BigInt","null","0","quickswap",""
"feeGrowthInside1LastX128","BigInt","null","0","quickswap",""
"token0Tvl","BigDecimal","null","0","quickswap",""
"token1Tvl","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"owner","Bytes","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"position","Position","null","0","quickswap",""
"blockNumber","BigInt","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"liquidity","BigInt","null","0","quickswap",""
"depositedToken0","BigDecimal","null","0","quickswap",""
"depositedToken1","BigDecimal","null","0","quickswap",""
"withdrawnToken0","BigDecimal","null","0","quickswap",""
"withdrawnToken1","BigDecimal","null","0","quickswap",""
"collectedFeesToken0","BigDecimal","null","0","quickswap",""
"collectedFeesToken1","BigDecimal","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"feeGrowthInside0LastX128","BigInt","null","0","quickswap",""
"feeGrowthInside1LastX128","BigInt","null","0","quickswap",""
"factory","Factory","null","0","quickswap",""
"factories","Unknown","null","0","quickswap",""
"bundle","Bundle","null","0","quickswap",""
"bundles","Unknown","null","0","quickswap",""
"token","Token","null","0","quickswap",""
"tokens","Unknown","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"pools","Unknown","null","0","quickswap",""
"tick","Tick","null","0","quickswap",""
"ticks","Unknown","null","0","quickswap",""
"position","Position","null","0","quickswap",""
"positions","Unknown","null","0","quickswap",""
"positionSnapshot","PositionSnapshot","null","0","quickswap",""
"positionSnapshots","Unknown","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"transactions","Unknown","null","0","quickswap",""
"mint","Mint","null","0","quickswap",""
"mints","Unknown","null","0","quickswap",""
"burn","Burn","null","0","quickswap",""
"burns","Unknown","null","0","quickswap",""
"swap","Swap","null","0","quickswap",""
"swaps","Unknown","null","0","quickswap",""
"collect","Collect","null","0","quickswap",""
"collects","Unknown","null","0","quickswap",""
"flash","Flash","null","0","quickswap",""
"flashes","Unknown","null","0","quickswap",""
"algebraDayData","AlgebraDayData","null","0","quickswap",""
"algebraDayDatas","Unknown","null","0","quickswap",""
"poolDayData","PoolDayData","null","0","quickswap",""
"poolDayDatas","Unknown","null","0","quickswap",""
"poolFeeData","PoolFeeData","null","0","quickswap",""
"poolFeeDatas","Unknown","null","0","quickswap",""
"poolHourData","PoolHourData","null","0","quickswap",""
"poolHourDatas","Unknown","null","0","quickswap",""
"tickHourData","TickHourData","null","0","quickswap",""
"tickHourDatas","Unknown","null","0","quickswap",""
"tickDayData","TickDayData","null","0","quickswap",""
"tickDayDatas","Unknown","null","0","quickswap",""
"tokenDayData","TokenDayData","null","0","quickswap",""
"tokenDayDatas","Unknown","null","0","quickswap",""
"tokenHourData","TokenHourData","null","0","quickswap",""
"tokenHourDatas","Unknown","null","0","quickswap",""
"feeHourData","FeeHourData","null","0","quickswap",""
"feeHourDatas","Unknown","null","0","quickswap",""
"_meta","_Meta_","null","0","quickswap",""
"factory","Factory","null","0","quickswap",""
"factories","Unknown","null","0","quickswap",""
"bundle","Bundle","null","0","quickswap",""
"bundles","Unknown","null","0","quickswap",""
"token","Token","null","0","quickswap",""
"tokens","Unknown","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"pools","Unknown","null","0","quickswap",""
"tick","Tick","null","0","quickswap",""
"ticks","Unknown","null","0","quickswap",""
"position","Position","null","0","quickswap",""
"positions","Unknown","null","0","quickswap",""
"positionSnapshot","PositionSnapshot","null","0","quickswap",""
"positionSnapshots","Unknown","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"transactions","Unknown","null","0","quickswap",""
"mint","Mint","null","0","quickswap",""
"mints","Unknown","null","0","quickswap",""
"burn","Burn","null","0","quickswap",""
"burns","Unknown","null","0","quickswap",""
"swap","Swap","null","0","quickswap",""
"swaps","Unknown","null","0","quickswap",""
"collect","Collect","null","0","quickswap",""
"collects","Unknown","null","0","quickswap",""
"flash","Flash","null","0","quickswap",""
"flashes","Unknown","null","0","quickswap",""
"algebraDayData","AlgebraDayData","null","0","quickswap",""
"algebraDayDatas","Unknown","null","0","quickswap",""
"poolDayData","PoolDayData","null","0","quickswap",""
"poolDayDatas","Unknown","null","0","quickswap",""
"poolFeeData","PoolFeeData","null","0","quickswap",""
"poolFeeDatas","Unknown","null","0","quickswap",""
"poolHourData","PoolHourData","null","0","quickswap",""
"poolHourDatas","Unknown","null","0","quickswap",""
"tickHourData","TickHourData","null","0","quickswap",""
"tickHourDatas","Unknown","null","0","quickswap",""
"tickDayData","TickDayData","null","0","quickswap",""
"tickDayDatas","Unknown","null","0","quickswap",""
"tokenDayData","TokenDayData","null","0","quickswap",""
"tokenDayDatas","Unknown","null","0","quickswap",""
"tokenHourData","TokenHourData","null","0","quickswap",""
"tokenHourDatas","Unknown","null","0","quickswap",""
"feeHourData","FeeHourData","null","0","quickswap",""
"feeHourDatas","Unknown","null","0","quickswap",""
"_meta","_Meta_","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"token0","Token","null","0","quickswap",""
"token1","Token","null","0","quickswap",""
"sender","Bytes","null","0","quickswap",""
"recipient","Bytes","null","0","quickswap",""
"liquidity","BigInt","null","0","quickswap",""
"origin","Bytes","null","0","quickswap",""
"amount0","BigDecimal","null","0","quickswap",""
"amount1","BigDecimal","null","0","quickswap",""
"amountUSD","BigDecimal","null","0","quickswap",""
"price","BigInt","null","0","quickswap",""
"tick","BigInt","null","0","quickswap",""
"logIndex","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"poolAddress","String","null","0","quickswap",""
"tickIdx","BigInt","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"liquidityGross","BigInt","null","0","quickswap",""
"liquidityNet","BigInt","null","0","quickswap",""
"price0","BigDecimal","null","0","quickswap",""
"price1","BigDecimal","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"collectedFeesToken0","BigDecimal","null","0","quickswap",""
"collectedFeesToken1","BigDecimal","null","0","quickswap",""
"collectedFeesUSD","BigDecimal","null","0","quickswap",""
"createdAtTimestamp","BigInt","null","0","quickswap",""
"createdAtBlockNumber","BigInt","null","0","quickswap",""
"liquidityProviderCount","BigInt","null","0","quickswap",""
"feeGrowthOutside0X128","BigInt","null","0","quickswap",""
"feeGrowthOutside1X128","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"date","Int","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"tick","Tick","null","0","quickswap",""
"liquidityGross","BigInt","null","0","quickswap",""
"liquidityNet","BigInt","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"feeGrowthOutside0X128","BigInt","null","0","quickswap",""
"feeGrowthOutside1X128","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"periodStartUnix","Int","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"tick","Tick","null","0","quickswap",""
"liquidityGross","BigInt","null","0","quickswap",""
"liquidityNet","BigInt","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"symbol","String","null","0","quickswap",""
"name","String","null","0","quickswap",""
"decimals","BigInt","null","0","quickswap",""
"totalSupply","BigInt","null","0","quickswap",""
"volume","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"poolCount","BigInt","null","0","quickswap",""
"totalValueLocked","BigDecimal","null","0","quickswap",""
"totalValueLockedUSD","BigDecimal","null","0","quickswap",""
