Field Name,Type,Parent,Depth,API,Description
"tauAlphaX","BigDecimal","null","0","balancerEthereum",""
"tauAlphaY","BigDecimal","null","0","balancerEthereum",""
"tauBetaX","BigDecimal","null","0","balancerEthereum",""
"tauBetaY","BigDecimal","null","0","balancerEthereum",""
"u","BigDecimal","null","0","balancerEthereum",""
"v","BigDecimal","null","0","balancerEthereum",""
"w","BigDecimal","null","0","balancerEthereum",""
"z","BigDecimal","null","0","balancerEthereum",""
"dSq","BigDecimal","null","0","balancerEthereum",""
"alpha","BigDecimal","null","0","balancerEthereum",""
"beta","BigDecimal","null","0","balancerEthereum",""
"lambda","BigDecimal","null","0","balancerEthereum",""
"delta","BigDecimal","null","0","balancerEthereum",""
"epsilon","BigDecimal","null","0","balancerEthereum",""
"isInRecoveryMode","Boolean","null","0","balancerEthereum",""
"protocolSwapFeeCache","BigDecimal","null","0","balancerEthereum",""
"protocolYieldFeeCache","BigDecimal","null","0","balancerEthereum",""
"protocolAumFeeCache","BigDecimal","null","0","balancerEthereum",""
"totalProtocolFeePaidInBPT","BigDecimal","null","0","balancerEthereum",""
"lastJoinExitAmp","BigInt","null","0","balancerEthereum",""
"lastPostJoinExitInvariant","BigDecimal","null","0","balancerEthereum",""
"protocolId","Int","null","0","balancerEthereum",""
"protocolIdData","ProtocolIdData","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"pool","Pool","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
"poolTotalShares","BigDecimal","null","0","balancerEthereum",""
"poolLiquidity","BigDecimal","null","0","balancerEthereum",""
"poolShareValue","BigDecimal","null","0","balancerEthereum",""
"pricingAsset","Bytes","null","0","balancerEthereum",""
"block","BigInt","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"userAddress","User","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
"balance","BigDecimal","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"pool","Pool","null","0","balancerEthereum",""
"amounts","Unknown","null","0","balancerEthereum",""
"totalShares","BigDecimal","null","0","balancerEthereum",""
"swapVolume","BigDecimal","null","0","balancerEthereum",""
"protocolFee","BigDecimal","null","0","balancerEthereum",""
"swapFees","BigDecimal","null","0","balancerEthereum",""
"liquidity","BigDecimal","null","0","balancerEthereum",""
"swapsCount","BigInt","null","0","balancerEthereum",""
"holdersCount","BigInt","null","0","balancerEthereum",""
"timestamp","Int","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
"token","Token","null","0","balancerEthereum",""
"assetManager","Bytes","null","0","balancerEthereum",""
"symbol","String","null","0","balancerEthereum",""
"name","String","null","0","balancerEthereum",""
"decimals","Int","null","0","balancerEthereum",""
"index","Int","null","0","balancerEthereum",""
"address","String","null","0","balancerEthereum",""
"oldPriceRate","BigDecimal","null","0","balancerEthereum",""
"priceRate","BigDecimal","null","0","balancerEthereum",""
"balance","BigDecimal","null","0","balancerEthereum",""
"paidProtocolFees","BigDecimal","null","0","balancerEthereum",""
"cashBalance","BigDecimal","null","0","balancerEthereum",""
"managedBalance","BigDecimal","null","0","balancerEthereum",""
"managements","Unknown","null","0","balancerEthereum",""
"weight","BigDecimal","null","0","balancerEthereum",""
"isExemptFromYieldProtocolFee","Boolean","null","0","balancerEthereum",""
"circuitBreaker","CircuitBreaker","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
"token","PoolToken","null","0","balancerEthereum",""
"address","Bytes","null","0","balancerEthereum",""
"rate","BigDecimal","null","0","balancerEthereum",""
"lastCached","Int","null","0","balancerEthereum",""
"cacheDuration","Int","null","0","balancerEthereum",""
"cacheExpiry","Int","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"name","String","null","0","balancerEthereum",""
"balancer","Balancer","null","0","balancerEthereum",""
"balancers","Unknown","null","0","balancerEthereum",""
"pool","Pool","null","0","balancerEthereum",""
"pools","Unknown","null","0","balancerEthereum",""
"poolContract","PoolContract","null","0","balancerEthereum",""
"poolContracts","Unknown","null","0","balancerEthereum",""
