Field Name,Type,Parent,Depth,API,Description
"tauAlphaX","BigDecimal","null","0","balancerPolygon",""
"tauAlphaY","BigDecimal","null","0","balancerPolygon",""
"tauBetaX","BigDecimal","null","0","balancerPolygon",""
"tauBetaY","BigDecimal","null","0","balancerPolygon",""
"u","BigDecimal","null","0","balancerPolygon",""
"v","BigDecimal","null","0","balancerPolygon",""
"w","BigDecimal","null","0","balancerPolygon",""
"z","BigDecimal","null","0","balancerPolygon",""
"dSq","BigDecimal","null","0","balancerPolygon",""
"alpha","BigDecimal","null","0","balancerPolygon",""
"beta","BigDecimal","null","0","balancerPolygon",""
"lambda","BigDecimal","null","0","balancerPolygon",""
"delta","BigDecimal","null","0","balancerPolygon",""
"epsilon","BigDecimal","null","0","balancerPolygon",""
"isInRecoveryMode","Boolean","null","0","balancerPolygon",""
"protocolSwapFeeCache","BigDecimal","null","0","balancerPolygon",""
"protocolYieldFeeCache","BigDecimal","null","0","balancerPolygon",""
"protocolAumFeeCache","BigDecimal","null","0","balancerPolygon",""
"totalProtocolFeePaidInBPT","BigDecimal","null","0","balancerPolygon",""
"lastJoinExitAmp","BigInt","null","0","balancerPolygon",""
"lastPostJoinExitInvariant","BigDecimal","null","0","balancerPolygon",""
"protocolId","Int","null","0","balancerPolygon",""
"protocolIdData","ProtocolIdData","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"poolTotalShares","BigDecimal","null","0","balancerPolygon",""
"poolLiquidity","BigDecimal","null","0","balancerPolygon",""
"poolShareValue","BigDecimal","null","0","balancerPolygon",""
"pricingAsset","Bytes","null","0","balancerPolygon",""
"block","BigInt","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"userAddress","User","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"balance","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"amounts","Unknown","null","0","balancerPolygon",""
"totalShares","BigDecimal","null","0","balancerPolygon",""
"swapVolume","BigDecimal","null","0","balancerPolygon",""
"protocolFee","BigDecimal","null","0","balancerPolygon",""
"swapFees","BigDecimal","null","0","balancerPolygon",""
"liquidity","BigDecimal","null","0","balancerPolygon",""
"swapsCount","BigInt","null","0","balancerPolygon",""
"holdersCount","BigInt","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"token","Token","null","0","balancerPolygon",""
"assetManager","Bytes","null","0","balancerPolygon",""
"symbol","String","null","0","balancerPolygon",""
"name","String","null","0","balancerPolygon",""
"decimals","Int","null","0","balancerPolygon",""
"index","Int","null","0","balancerPolygon",""
"address","String","null","0","balancerPolygon",""
"oldPriceRate","BigDecimal","null","0","balancerPolygon",""
"priceRate","BigDecimal","null","0","balancerPolygon",""
"balance","BigDecimal","null","0","balancerPolygon",""
"paidProtocolFees","BigDecimal","null","0","balancerPolygon",""
"cashBalance","BigDecimal","null","0","balancerPolygon",""
"managedBalance","BigDecimal","null","0","balancerPolygon",""
"managements","Unknown","null","0","balancerPolygon",""
"weight","BigDecimal","null","0","balancerPolygon",""
"isExemptFromYieldProtocolFee","Boolean","null","0","balancerPolygon",""
"circuitBreaker","CircuitBreaker","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"token","PoolToken","null","0","balancerPolygon",""
"address","Bytes","null","0","balancerPolygon",""
"rate","BigDecimal","null","0","balancerPolygon",""
"lastCached","Int","null","0","balancerPolygon",""
"cacheDuration","Int","null","0","balancerPolygon",""
"cacheExpiry","Int","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"name","String","null","0","balancerPolygon",""
"balancer","Balancer","null","0","balancerPolygon",""
"balancers","Unknown","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"pools","Unknown","null","0","balancerPolygon",""
"poolContract","PoolContract","null","0","balancerPolygon",""
"poolContracts","Unknown","null","0","balancerPolygon",""
"poolToken","PoolToken","null","0","balancerPolygon",""
"poolTokens","Unknown","null","0","balancerPolygon",""
"priceRateProvider","PriceRateProvider","null","0","balancerPolygon",""
"priceRateProviders","Unknown","null","0","balancerPolygon",""
"circuitBreaker","CircuitBreaker","null","0","balancerPolygon",""
"circuitBreakers","Unknown","null","0","balancerPolygon",""
"poolShare","PoolShare","null","0","balancerPolygon",""
"poolShares","Unknown","null","0","balancerPolygon",""
"user","User","null","0","balancerPolygon",""
"users","Unknown","null","0","balancerPolygon",""
"userInternalBalance","UserInternalBalance","null","0","balancerPolygon",""
"userInternalBalances","Unknown","null","0","balancerPolygon",""
"gradualWeightUpdate","GradualWeightUpdate","null","0","balancerPolygon",""
"gradualWeightUpdates","Unknown","null","0","balancerPolygon",""
"ampUpdate","AmpUpdate","null","0","balancerPolygon",""
"ampUpdates","Unknown","null","0","balancerPolygon",""
"swapFeeUpdate","SwapFeeUpdate","null","0","balancerPolygon",""
"swapFeeUpdates","Unknown","null","0","balancerPolygon",""
"swap","Swap","null","0","balancerPolygon",""
"swaps","Unknown","null","0","balancerPolygon",""
"joinExit","JoinExit","null","0","balancerPolygon",""
"joinExits","Unknown","null","0","balancerPolygon",""
"latestPrice","LatestPrice","null","0","balancerPolygon",""
"latestPrices","Unknown","null","0","balancerPolygon",""
"poolHistoricalLiquidity","PoolHistoricalLiquidity","null","0","balancerPolygon",""
"poolHistoricalLiquidities","Unknown","null","0","balancerPolygon",""
"tokenPrice","TokenPrice","null","0","balancerPolygon",""
"tokenPrices","Unknown","null","0","balancerPolygon",""
"managementOperation","ManagementOperation","null","0","balancerPolygon",""
"managementOperations","Unknown","null","0","balancerPolygon",""
"poolSnapshot","PoolSnapshot","null","0","balancerPolygon",""
"poolSnapshots","Unknown","null","0","balancerPolygon",""
"token","Token","null","0","balancerPolygon",""
"tokens","Unknown","null","0","balancerPolygon",""
"tokenSnapshot","TokenSnapshot","null","0","balancerPolygon",""
"tokenSnapshots","Unknown","null","0","balancerPolygon",""
"tradePair","TradePair","null","0","balancerPolygon",""
"tradePairs","Unknown","null","0","balancerPolygon",""
"tradePairSnapshot","TradePairSnapshot","null","0","balancerPolygon",""
"tradePairSnapshots","Unknown","null","0","balancerPolygon",""
