Field Name,Type,Parent,API
"inputTokenBalances","Unknown","LiquidityPoolDailySnapshot","undefined"
"inputTokenWeights","Unknown","LiquidityPoolDailySnapshot","undefined"
"outputTokenSupply","BigInt","LiquidityPoolDailySnapshot","undefined"
"outputTokenPriceUSD","BigDecimal","LiquidityPoolDailySnapshot","undefined"
"stakedOutputTokenAmount","BigInt","LiquidityPoolDailySnapshot","undefined"
"rewardTokenEmissionsAmount","Unknown","LiquidityPoolDailySnapshot","undefined"
"rewardTokenEmissionsUSD","Unknown","LiquidityPoolDailySnapshot","undefined"
"id","ID","LiquidityPoolFee","undefined"
"feePercentage","BigDecimal","LiquidityPoolFee","undefined"
"feeType","LiquidityPoolFeeType","LiquidityPoolFee","undefined"
"id","ID","LiquidityPoolHourlySnapshot","undefined"
"protocol","DexAmmProtocol","LiquidityPoolHourlySnapshot","undefined"
"pool","LiquidityPool","LiquidityPoolHourlySnapshot","undefined"
"blockNumber","BigInt","LiquidityPoolHourlySnapshot","undefined"
"timestamp","BigInt","LiquidityPoolHourlySnapshot","undefined"
"totalValueLockedUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"cumulativeSupplySideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"hourlySupplySideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"cumulativeProtocolSideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"hourlyProtocolSideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"cumulativeTotalRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"hourlyTotalRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"hourlyVolumeUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"hourlyVolumeByTokenAmount","Unknown","LiquidityPoolHourlySnapshot","undefined"
"hourlyVolumeByTokenUSD","Unknown","LiquidityPoolHourlySnapshot","undefined"
"cumulativeVolumeUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"inputTokenBalances","Unknown","LiquidityPoolHourlySnapshot","undefined"
"inputTokenWeights","Unknown","LiquidityPoolHourlySnapshot","undefined"
"outputTokenSupply","BigInt","LiquidityPoolHourlySnapshot","undefined"
"outputTokenPriceUSD","BigDecimal","LiquidityPoolHourlySnapshot","undefined"
"stakedOutputTokenAmount","BigInt","LiquidityPoolHourlySnapshot","undefined"
"rewardTokenEmissionsAmount","Unknown","LiquidityPoolHourlySnapshot","undefined"
"rewardTokenEmissionsUSD","Unknown","LiquidityPoolHourlySnapshot","undefined"
"id","ID","Protocol","undefined"
"name","String","Protocol","undefined"
"slug","String","Protocol","undefined"
"schemaVersion","String","Protocol","undefined"
"subgraphVersion","String","Protocol","undefined"
"methodologyVersion","String","Protocol","undefined"
"network","Network","Protocol","undefined"
"type","ProtocolType","Protocol","undefined"
"totalValueLockedUSD","BigDecimal","Protocol","undefined"
"protocolControlledValueUSD","BigDecimal","Protocol","undefined"
"cumulativeSupplySideRevenueUSD","BigDecimal","Protocol","undefined"
"cumulativeProtocolSideRevenueUSD","BigDecimal","Protocol","undefined"
"cumulativeTotalRevenueUSD","BigDecimal","Protocol","undefined"
"cumulativeUniqueUsers","Int","Protocol","undefined"
"totalPoolCount","Int","Protocol","undefined"
"dailyUsageMetrics","Unknown","Protocol","undefined"
"hourlyUsageMetrics","Unknown","Protocol","undefined"
"financialMetrics","Unknown","Protocol","undefined"
"token","Token","Query","undefined"
"tokens","Unknown","Query","undefined"
"rewardToken","RewardToken","Query","undefined"
"rewardTokens","Unknown","Query","undefined"
"liquidityPoolFee","LiquidityPoolFee","Query","undefined"
"liquidityPoolFees","Unknown","Query","undefined"
"dexAmmProtocol","DexAmmProtocol","Query","undefined"
"dexAmmProtocols","Unknown","Query","undefined"
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","Query","undefined"
"usageMetricsDailySnapshots","Unknown","Query","undefined"
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","Query","undefined"
"usageMetricsHourlySnapshots","Unknown","Query","undefined"
"financialsDailySnapshot","FinancialsDailySnapshot","Query","undefined"
"financialsDailySnapshots","Unknown","Query","undefined"
"liquidityPool","LiquidityPool","Query","undefined"
"liquidityPools","Unknown","Query","undefined"
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","Query","undefined"
"liquidityPoolDailySnapshots","Unknown","Query","undefined"
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","Query","undefined"
"liquidityPoolHourlySnapshots","Unknown","Query","undefined"
"deposit","Deposit","Query","undefined"
"deposits","Unknown","Query","undefined"
"withdraw","Withdraw","Query","undefined"
"withdraws","Unknown","Query","undefined"
"swap","Swap","Query","undefined"
"swaps","Unknown","Query","undefined"
"account","Account","Query","undefined"
"accounts","Unknown","Query","undefined"
"activeAccount","ActiveAccount","Query","undefined"
"activeAccounts","Unknown","Query","undefined"
"liquidityGauge","_LiquidityGauge","Query","undefined"
"liquidityGauges","Unknown","Query","undefined"
"lpToken","_LpToken","Query","undefined"
"lpTokens","Unknown","Query","undefined"
"circularBuffer","_CircularBuffer","Query","undefined"
"circularBuffers","Unknown","Query","undefined"
"protocol","Protocol","Query","undefined"
"protocols","Unknown","Query","undefined"
"event","Event","Query","undefined"
"events","Unknown","Query","undefined"
"_meta","_Meta_","Query","undefined"
"id","ID","RewardToken","undefined"
"token","Token","RewardToken","undefined"
"type","RewardTokenType","RewardToken","undefined"
"token","Token","Subscription","undefined"
"tokens","Unknown","Subscription","undefined"
"rewardToken","RewardToken","Subscription","undefined"
"rewardTokens","Unknown","Subscription","undefined"
"liquidityPoolFee","LiquidityPoolFee","Subscription","undefined"
"liquidityPoolFees","Unknown","Subscription","undefined"
"dexAmmProtocol","DexAmmProtocol","Subscription","undefined"
"dexAmmProtocols","Unknown","Subscription","undefined"
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","Subscription","undefined"
"usageMetricsDailySnapshots","Unknown","Subscription","undefined"
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","Subscription","undefined"
"usageMetricsHourlySnapshots","Unknown","Subscription","undefined"
"financialsDailySnapshot","FinancialsDailySnapshot","Subscription","undefined"
"financialsDailySnapshots","Unknown","Subscription","undefined"
"liquidityPool","LiquidityPool","Subscription","undefined"
"liquidityPools","Unknown","Subscription","undefined"
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","Subscription","undefined"
"liquidityPoolDailySnapshots","Unknown","Subscription","undefined"
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","Subscription","undefined"
"liquidityPoolHourlySnapshots","Unknown","Subscription","undefined"
"deposit","Deposit","Subscription","undefined"
"deposits","Unknown","Subscription","undefined"
"withdraw","Withdraw","Subscription","undefined"
"withdraws","Unknown","Subscription","undefined"
"swap","Swap","Subscription","undefined"
"swaps","Unknown","Subscription","undefined"
"account","Account","Subscription","undefined"
"accounts","Unknown","Subscription","undefined"
"activeAccount","ActiveAccount","Subscription","undefined"
"activeAccounts","Unknown","Subscription","undefined"
"liquidityGauge","_LiquidityGauge","Subscription","undefined"
"liquidityGauges","Unknown","Subscription","undefined"
"lpToken","_LpToken","Subscription","undefined"
"lpTokens","Unknown","Subscription","undefined"
"circularBuffer","_CircularBuffer","Subscription","undefined"
"circularBuffers","Unknown","Subscription","undefined"
"protocol","Protocol","Subscription","undefined"
"protocols","Unknown","Subscription","undefined"
"event","Event","Subscription","undefined"
"events","Unknown","Subscription","undefined"
"_meta","_Meta_","Subscription","undefined"
"id","ID","Swap","undefined"
"hash","String","Swap","undefined"
"logIndex","Int","Swap","undefined"
"protocol","DexAmmProtocol","Swap","undefined"
"to","String","Swap","undefined"
"from","String","Swap","undefined"
"blockNumber","BigInt","Swap","undefined"
"timestamp","BigInt","Swap","undefined"
"tokenIn","Token","Swap","undefined"
"amountIn","BigInt","Swap","undefined"
"amountInUSD","BigDecimal","Swap","undefined"
