Field Name,Type,Parent,API
"sqrtBeta","BigDecimal","Pool","balancerOptimism"
"root3Alpha","BigDecimal","Pool","balancerOptimism"
"c","BigDecimal","Pool","balancerOptimism"
"s","BigDecimal","Pool","balancerOptimism"
"tauAlphaX","BigDecimal","Pool","balancerOptimism"
"tauAlphaY","BigDecimal","Pool","balancerOptimism"
"tauBetaX","BigDecimal","Pool","balancerOptimism"
"tauBetaY","BigDecimal","Pool","balancerOptimism"
"u","BigDecimal","Pool","balancerOptimism"
"v","BigDecimal","Pool","balancerOptimism"
"w","BigDecimal","Pool","balancerOptimism"
"z","BigDecimal","Pool","balancerOptimism"
"dSq","BigDecimal","Pool","balancerOptimism"
"alpha","BigDecimal","Pool","balancerOptimism"
"beta","BigDecimal","Pool","balancerOptimism"
"lambda","BigDecimal","Pool","balancerOptimism"
"delta","BigDecimal","Pool","balancerOptimism"
"epsilon","BigDecimal","Pool","balancerOptimism"
"isInRecoveryMode","Boolean","Pool","balancerOptimism"
"protocolSwapFeeCache","BigDecimal","Pool","balancerOptimism"
"protocolYieldFeeCache","BigDecimal","Pool","balancerOptimism"
"protocolAumFeeCache","BigDecimal","Pool","balancerOptimism"
"totalProtocolFeePaidInBPT","BigDecimal","Pool","balancerOptimism"
"lastJoinExitAmp","BigInt","Pool","balancerOptimism"
"lastPostJoinExitInvariant","BigDecimal","Pool","balancerOptimism"
"protocolId","Int","Pool","balancerOptimism"
"protocolIdData","ProtocolIdData","Pool","balancerOptimism"
"id","ID","PoolContract","balancerOptimism"
"pool","Pool","PoolContract","balancerOptimism"
"id","ID","PoolHistoricalLiquidity","balancerOptimism"
"poolId","Pool","PoolHistoricalLiquidity","balancerOptimism"
"poolTotalShares","BigDecimal","PoolHistoricalLiquidity","balancerOptimism"
"poolLiquidity","BigDecimal","PoolHistoricalLiquidity","balancerOptimism"
"poolShareValue","BigDecimal","PoolHistoricalLiquidity","balancerOptimism"
"pricingAsset","Bytes","PoolHistoricalLiquidity","balancerOptimism"
"block","BigInt","PoolHistoricalLiquidity","balancerOptimism"
"id","ID","PoolShare","balancerOptimism"
"userAddress","User","PoolShare","balancerOptimism"
"poolId","Pool","PoolShare","balancerOptimism"
"balance","BigDecimal","PoolShare","balancerOptimism"
"id","ID","PoolSnapshot","balancerOptimism"
"pool","Pool","PoolSnapshot","balancerOptimism"
"amounts","Unknown","PoolSnapshot","balancerOptimism"
"totalShares","BigDecimal","PoolSnapshot","balancerOptimism"
"swapVolume","BigDecimal","PoolSnapshot","balancerOptimism"
"protocolFee","BigDecimal","PoolSnapshot","balancerOptimism"
"swapFees","BigDecimal","PoolSnapshot","balancerOptimism"
"liquidity","BigDecimal","PoolSnapshot","balancerOptimism"
"swapsCount","BigInt","PoolSnapshot","balancerOptimism"
"holdersCount","BigInt","PoolSnapshot","balancerOptimism"
"timestamp","Int","PoolSnapshot","balancerOptimism"
"id","ID","PoolToken","balancerOptimism"
"poolId","Pool","PoolToken","balancerOptimism"
"token","Token","PoolToken","balancerOptimism"
"assetManager","Bytes","PoolToken","balancerOptimism"
"symbol","String","PoolToken","balancerOptimism"
"name","String","PoolToken","balancerOptimism"
"decimals","Int","PoolToken","balancerOptimism"
"index","Int","PoolToken","balancerOptimism"
"address","String","PoolToken","balancerOptimism"
"oldPriceRate","BigDecimal","PoolToken","balancerOptimism"
"priceRate","BigDecimal","PoolToken","balancerOptimism"
"balance","BigDecimal","PoolToken","balancerOptimism"
"paidProtocolFees","BigDecimal","PoolToken","balancerOptimism"
"cashBalance","BigDecimal","PoolToken","balancerOptimism"
"managedBalance","BigDecimal","PoolToken","balancerOptimism"
"managements","Unknown","PoolToken","balancerOptimism"
"weight","BigDecimal","PoolToken","balancerOptimism"
"isExemptFromYieldProtocolFee","Boolean","PoolToken","balancerOptimism"
"circuitBreaker","CircuitBreaker","PoolToken","balancerOptimism"
"id","ID","PriceRateProvider","balancerOptimism"
"poolId","Pool","PriceRateProvider","balancerOptimism"
"token","PoolToken","PriceRateProvider","balancerOptimism"
"address","Bytes","PriceRateProvider","balancerOptimism"
"rate","BigDecimal","PriceRateProvider","balancerOptimism"
"lastCached","Int","PriceRateProvider","balancerOptimism"
"cacheDuration","Int","PriceRateProvider","balancerOptimism"
"cacheExpiry","Int","PriceRateProvider","balancerOptimism"
"id","ID","ProtocolIdData","balancerOptimism"
"name","String","ProtocolIdData","balancerOptimism"
"balancer","Balancer","Query","balancerOptimism"
"balancers","Unknown","Query","balancerOptimism"
"pool","Pool","Query","balancerOptimism"
"pools","Unknown","Query","balancerOptimism"
"poolContract","PoolContract","Query","balancerOptimism"
"poolContracts","Unknown","Query","balancerOptimism"
"poolToken","PoolToken","Query","balancerOptimism"
"poolTokens","Unknown","Query","balancerOptimism"
"priceRateProvider","PriceRateProvider","Query","balancerOptimism"
"priceRateProviders","Unknown","Query","balancerOptimism"
"circuitBreaker","CircuitBreaker","Query","balancerOptimism"
"circuitBreakers","Unknown","Query","balancerOptimism"
"poolShare","PoolShare","Query","balancerOptimism"
"poolShares","Unknown","Query","balancerOptimism"
"user","User","Query","balancerOptimism"
"users","Unknown","Query","balancerOptimism"
"userInternalBalance","UserInternalBalance","Query","balancerOptimism"
"userInternalBalances","Unknown","Query","balancerOptimism"
"gradualWeightUpdate","GradualWeightUpdate","Query","balancerOptimism"
"gradualWeightUpdates","Unknown","Query","balancerOptimism"
"ampUpdate","AmpUpdate","Query","balancerOptimism"
"ampUpdates","Unknown","Query","balancerOptimism"
"swapFeeUpdate","SwapFeeUpdate","Query","balancerOptimism"
"swapFeeUpdates","Unknown","Query","balancerOptimism"
"swap","Swap","Query","balancerOptimism"
"swaps","Unknown","Query","balancerOptimism"
"joinExit","JoinExit","Query","balancerOptimism"
"joinExits","Unknown","Query","balancerOptimism"
"latestPrice","LatestPrice","Query","balancerOptimism"
"latestPrices","Unknown","Query","balancerOptimism"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Query","balancerOptimism"
"poolHistoricalLiquidities","Unknown","Query","balancerOptimism"
"tokenPrice","TokenPrice","Query","balancerOptimism"
"tokenPrices","Unknown","Query","balancerOptimism"
"managementOperation","ManagementOperation","Query","balancerOptimism"
"managementOperations","Unknown","Query","balancerOptimism"
"poolSnapshot","PoolSnapshot","Query","balancerOptimism"
"poolSnapshots","Unknown","Query","balancerOptimism"
"token","Token","Query","balancerOptimism"
"tokens","Unknown","Query","balancerOptimism"
"tokenSnapshot","TokenSnapshot","Query","balancerOptimism"
"tokenSnapshots","Unknown","Query","balancerOptimism"
"tradePair","TradePair","Query","balancerOptimism"
"tradePairs","Unknown","Query","balancerOptimism"
"tradePairSnapshot","TradePairSnapshot","Query","balancerOptimism"
"tradePairSnapshots","Unknown","Query","balancerOptimism"
"balancerSnapshot","BalancerSnapshot","Query","balancerOptimism"
"balancerSnapshots","Unknown","Query","balancerOptimism"
"protocolIdData","ProtocolIdData","Query","balancerOptimism"
"protocolIdDatas","Unknown","Query","balancerOptimism"
"fxoracle","FXOracle","Query","balancerOptimism"
"fxoracles","Unknown","Query","balancerOptimism"
"_meta","_Meta_","Query","balancerOptimism"
"balancer","Balancer","Subscription","balancerOptimism"
"balancers","Unknown","Subscription","balancerOptimism"
"pool","Pool","Subscription","balancerOptimism"
"pools","Unknown","Subscription","balancerOptimism"
"poolContract","PoolContract","Subscription","balancerOptimism"
"poolContracts","Unknown","Subscription","balancerOptimism"
"poolToken","PoolToken","Subscription","balancerOptimism"
"poolTokens","Unknown","Subscription","balancerOptimism"
"priceRateProvider","PriceRateProvider","Subscription","balancerOptimism"
"priceRateProviders","Unknown","Subscription","balancerOptimism"
"circuitBreaker","CircuitBreaker","Subscription","balancerOptimism"
"circuitBreakers","Unknown","Subscription","balancerOptimism"
"poolShare","PoolShare","Subscription","balancerOptimism"
"poolShares","Unknown","Subscription","balancerOptimism"
"user","User","Subscription","balancerOptimism"
"users","Unknown","Subscription","balancerOptimism"
"userInternalBalance","UserInternalBalance","Subscription","balancerOptimism"
"userInternalBalances","Unknown","Subscription","balancerOptimism"
"gradualWeightUpdate","GradualWeightUpdate","Subscription","balancerOptimism"
"gradualWeightUpdates","Unknown","Subscription","balancerOptimism"
"ampUpdate","AmpUpdate","Subscription","balancerOptimism"
"ampUpdates","Unknown","Subscription","balancerOptimism"
"swapFeeUpdate","SwapFeeUpdate","Subscription","balancerOptimism"
"swapFeeUpdates","Unknown","Subscription","balancerOptimism"
"swap","Swap","Subscription","balancerOptimism"
"swaps","Unknown","Subscription","balancerOptimism"
"joinExit","JoinExit","Subscription","balancerOptimism"
"joinExits","Unknown","Subscription","balancerOptimism"
"latestPrice","LatestPrice","Subscription","balancerOptimism"
"latestPrices","Unknown","Subscription","balancerOptimism"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Subscription","balancerOptimism"
"poolHistoricalLiquidities","Unknown","Subscription","balancerOptimism"
"tokenPrice","TokenPrice","Subscription","balancerOptimism"
"tokenPrices","Unknown","Subscription","balancerOptimism"
"managementOperation","ManagementOperation","Subscription","balancerOptimism"
"managementOperations","Unknown","Subscription","balancerOptimism"
"poolSnapshot","PoolSnapshot","Subscription","balancerOptimism"
"poolSnapshots","Unknown","Subscription","balancerOptimism"
"token","Token","Subscription","balancerOptimism"
"tokens","Unknown","Subscription","balancerOptimism"
"tokenSnapshot","TokenSnapshot","Subscription","balancerOptimism"
"tokenSnapshots","Unknown","Subscription","balancerOptimism"
"tradePair","TradePair","Subscription","balancerOptimism"
"tradePairs","Unknown","Subscription","balancerOptimism"
"tradePairSnapshot","TradePairSnapshot","Subscription","balancerOptimism"
"tradePairSnapshots","Unknown","Subscription","balancerOptimism"
"balancerSnapshot","BalancerSnapshot","Subscription","balancerOptimism"
"balancerSnapshots","Unknown","Subscription","balancerOptimism"
"protocolIdData","ProtocolIdData","Subscription","balancerOptimism"
"protocolIdDatas","Unknown","Subscription","balancerOptimism"
"fxoracle","FXOracle","Subscription","balancerOptimism"
"fxoracles","Unknown","Subscription","balancerOptimism"
