Field Name,Type,Parent,API
"dailyProtocolSideRevenueUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"dailyTotalRevenueUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"dailyVolumeUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"dailyVolumeByTokenAmount","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"dailyVolumeByTokenUSD","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"cumulativeVolumeUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"inputTokenBalances","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"inputTokenWeights","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"outputTokenSupply","BigInt","LiquidityPoolDailySnapshot","curveEthereum"
"outputTokenPriceUSD","BigDecimal","LiquidityPoolDailySnapshot","curveEthereum"
"stakedOutputTokenAmount","BigInt","LiquidityPoolDailySnapshot","curveEthereum"
"rewardTokenEmissionsAmount","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"rewardTokenEmissionsUSD","Unknown","LiquidityPoolDailySnapshot","curveEthereum"
"id","ID","LiquidityPoolFee","curveEthereum"
"feePercentage","BigDecimal","LiquidityPoolFee","curveEthereum"
"feeType","LiquidityPoolFeeType","LiquidityPoolFee","curveEthereum"
"id","ID","LiquidityPoolHourlySnapshot","curveEthereum"
"protocol","DexAmmProtocol","LiquidityPoolHourlySnapshot","curveEthereum"
"pool","LiquidityPool","LiquidityPoolHourlySnapshot","curveEthereum"
"blockNumber","BigInt","LiquidityPoolHourlySnapshot","curveEthereum"
"timestamp","BigInt","LiquidityPoolHourlySnapshot","curveEthereum"
"totalValueLockedUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"cumulativeSupplySideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlySupplySideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"cumulativeProtocolSideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlyProtocolSideRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlyTotalRevenueUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlyVolumeUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlyVolumeByTokenAmount","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"hourlyVolumeByTokenUSD","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"cumulativeVolumeUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"inputTokenBalances","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"inputTokenWeights","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"outputTokenSupply","BigInt","LiquidityPoolHourlySnapshot","curveEthereum"
"outputTokenPriceUSD","BigDecimal","LiquidityPoolHourlySnapshot","curveEthereum"
"stakedOutputTokenAmount","BigInt","LiquidityPoolHourlySnapshot","curveEthereum"
"rewardTokenEmissionsAmount","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"rewardTokenEmissionsUSD","Unknown","LiquidityPoolHourlySnapshot","curveEthereum"
"id","ID","Protocol","curveEthereum"
"name","String","Protocol","curveEthereum"
"slug","String","Protocol","curveEthereum"
"schemaVersion","String","Protocol","curveEthereum"
"subgraphVersion","String","Protocol","curveEthereum"
"methodologyVersion","String","Protocol","curveEthereum"
"network","Network","Protocol","curveEthereum"
"type","ProtocolType","Protocol","curveEthereum"
"totalValueLockedUSD","BigDecimal","Protocol","curveEthereum"
"protocolControlledValueUSD","BigDecimal","Protocol","curveEthereum"
"cumulativeSupplySideRevenueUSD","BigDecimal","Protocol","curveEthereum"
"cumulativeProtocolSideRevenueUSD","BigDecimal","Protocol","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","Protocol","curveEthereum"
"cumulativeUniqueUsers","Int","Protocol","curveEthereum"
"totalPoolCount","Int","Protocol","curveEthereum"
"dailyUsageMetrics","Unknown","Protocol","curveEthereum"
"hourlyUsageMetrics","Unknown","Protocol","curveEthereum"
"financialMetrics","Unknown","Protocol","curveEthereum"
"token","Token","Query","curveEthereum"
"tokens","Unknown","Query","curveEthereum"
"rewardToken","RewardToken","Query","curveEthereum"
"rewardTokens","Unknown","Query","curveEthereum"
"liquidityPoolFee","LiquidityPoolFee","Query","curveEthereum"
"liquidityPoolFees","Unknown","Query","curveEthereum"
"dexAmmProtocol","DexAmmProtocol","Query","curveEthereum"
"dexAmmProtocols","Unknown","Query","curveEthereum"
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","Query","curveEthereum"
"usageMetricsDailySnapshots","Unknown","Query","curveEthereum"
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","Query","curveEthereum"
"usageMetricsHourlySnapshots","Unknown","Query","curveEthereum"
"financialsDailySnapshot","FinancialsDailySnapshot","Query","curveEthereum"
"financialsDailySnapshots","Unknown","Query","curveEthereum"
"liquidityPool","LiquidityPool","Query","curveEthereum"
"liquidityPools","Unknown","Query","curveEthereum"
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","Query","curveEthereum"
"liquidityPoolDailySnapshots","Unknown","Query","curveEthereum"
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","Query","curveEthereum"
"liquidityPoolHourlySnapshots","Unknown","Query","curveEthereum"
"deposit","Deposit","Query","curveEthereum"
"deposits","Unknown","Query","curveEthereum"
"withdraw","Withdraw","Query","curveEthereum"
"withdraws","Unknown","Query","curveEthereum"
"swap","Swap","Query","curveEthereum"
"swaps","Unknown","Query","curveEthereum"
