"feeGrowthGlobal0X128","BigInt","NON_NULL","quickswap","Pool"
"feeGrowthGlobal1X128","BigInt","NON_NULL","quickswap","Pool"
"token0Price","BigDecimal","NON_NULL","quickswap","Pool"
"token1Price","BigDecimal","NON_NULL","quickswap","Pool"
"tick","BigInt","NON_NULL","quickswap","Pool"
"observationIndex","BigInt","NON_NULL","quickswap","Pool"
"volumeToken0","BigDecimal","NON_NULL","quickswap","Pool"
"volumeToken1","BigDecimal","NON_NULL","quickswap","Pool"
"volumeUSD","BigDecimal","NON_NULL","quickswap","Pool"
"untrackedVolumeUSD","BigDecimal","NON_NULL","quickswap","Pool"
"feesUSD","BigDecimal","NON_NULL","quickswap","Pool"
"untrackedFeesUSD","BigDecimal","NON_NULL","quickswap","Pool"
"txCount","BigInt","NON_NULL","quickswap","Pool"
"collectedFeesToken0","BigDecimal","NON_NULL","quickswap","Pool"
"collectedFeesToken1","BigDecimal","NON_NULL","quickswap","Pool"
"collectedFeesUSD","BigDecimal","NON_NULL","quickswap","Pool"
"totalValueLockedToken0","BigDecimal","NON_NULL","quickswap","Pool"
"totalValueLockedToken1","BigDecimal","NON_NULL","quickswap","Pool"
"feesToken0","BigDecimal","NON_NULL","quickswap","Pool"
"feesToken1","BigDecimal","NON_NULL","quickswap","Pool"
"totalValueLockedMatic","BigDecimal","NON_NULL","quickswap","Pool"
"totalValueLockedUSD","BigDecimal","NON_NULL","quickswap","Pool"
"totalValueLockedUSDUntracked","BigDecimal","NON_NULL","quickswap","Pool"
"liquidityProviderCount","BigInt","NON_NULL","quickswap","Pool"
"poolHourData","Unknown","NON_NULL","quickswap","Pool"
"poolDayData","Unknown","NON_NULL","quickswap","Pool"
"mints","Unknown","NON_NULL","quickswap","Pool"
"burns","Unknown","NON_NULL","quickswap","Pool"
"swaps","Unknown","NON_NULL","quickswap","Pool"
"collects","Unknown","NON_NULL","quickswap","Pool"
"ticks","Unknown","NON_NULL","quickswap","Pool"
"id","ID","NON_NULL","quickswap","PoolDayData"
