Field Name,Type,Parent,Depth,API,Description
"outputTokenSupply","BigInt","null","0","curveAvalanche",""
"outputTokenPriceUSD","BigDecimal","null","0","curveAvalanche",""
"stakedOutputTokenAmount","BigInt","null","0","curveAvalanche",""
"rewardTokenEmissionsAmount","Unknown","null","0","curveAvalanche",""
"rewardTokenEmissionsUSD","Unknown","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"feePercentage","BigDecimal","null","0","curveAvalanche",""
"feeType","LiquidityPoolFeeType","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
"pool","LiquidityPool","null","0","curveAvalanche",""
"blockNumber","BigInt","null","0","curveAvalanche",""
"timestamp","BigInt","null","0","curveAvalanche",""
"totalValueLockedUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"hourlySupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"hourlyProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"hourlyTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"hourlyVolumeUSD","BigDecimal","null","0","curveAvalanche",""
"hourlyVolumeByTokenAmount","Unknown","null","0","curveAvalanche",""
"hourlyVolumeByTokenUSD","Unknown","null","0","curveAvalanche",""
"cumulativeVolumeUSD","BigDecimal","null","0","curveAvalanche",""
"inputTokenBalances","Unknown","null","0","curveAvalanche",""
"inputTokenWeights","Unknown","null","0","curveAvalanche",""
"outputTokenSupply","BigInt","null","0","curveAvalanche",""
"outputTokenPriceUSD","BigDecimal","null","0","curveAvalanche",""
"stakedOutputTokenAmount","BigInt","null","0","curveAvalanche",""
"rewardTokenEmissionsAmount","Unknown","null","0","curveAvalanche",""
"rewardTokenEmissionsUSD","Unknown","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"name","String","null","0","curveAvalanche",""
"slug","String","null","0","curveAvalanche",""
"schemaVersion","String","null","0","curveAvalanche",""
"subgraphVersion","String","null","0","curveAvalanche",""
"methodologyVersion","String","null","0","curveAvalanche",""
