Field Name,Type,Parent,API
"wrappedIndex","Int","Pool","balancerArbitrum"
"lowerTarget","BigDecimal","Pool","balancerArbitrum"
"upperTarget","BigDecimal","Pool","balancerArbitrum"
"sqrtAlpha","BigDecimal","Pool","balancerArbitrum"
"sqrtBeta","BigDecimal","Pool","balancerArbitrum"
"root3Alpha","BigDecimal","Pool","balancerArbitrum"
"c","BigDecimal","Pool","balancerArbitrum"
"s","BigDecimal","Pool","balancerArbitrum"
"tauAlphaX","BigDecimal","Pool","balancerArbitrum"
"tauAlphaY","BigDecimal","Pool","balancerArbitrum"
"tauBetaX","BigDecimal","Pool","balancerArbitrum"
"tauBetaY","BigDecimal","Pool","balancerArbitrum"
"u","BigDecimal","Pool","balancerArbitrum"
"v","BigDecimal","Pool","balancerArbitrum"
"w","BigDecimal","Pool","balancerArbitrum"
"z","BigDecimal","Pool","balancerArbitrum"
"dSq","BigDecimal","Pool","balancerArbitrum"
"alpha","BigDecimal","Pool","balancerArbitrum"
"beta","BigDecimal","Pool","balancerArbitrum"
"lambda","BigDecimal","Pool","balancerArbitrum"
"delta","BigDecimal","Pool","balancerArbitrum"
"epsilon","BigDecimal","Pool","balancerArbitrum"
"isInRecoveryMode","Boolean","Pool","balancerArbitrum"
"protocolSwapFeeCache","BigDecimal","Pool","balancerArbitrum"
"protocolYieldFeeCache","BigDecimal","Pool","balancerArbitrum"
"protocolAumFeeCache","BigDecimal","Pool","balancerArbitrum"
"totalProtocolFeePaidInBPT","BigDecimal","Pool","balancerArbitrum"
"lastJoinExitAmp","BigInt","Pool","balancerArbitrum"
"lastPostJoinExitInvariant","BigDecimal","Pool","balancerArbitrum"
"protocolId","Int","Pool","balancerArbitrum"
"protocolIdData","ProtocolIdData","Pool","balancerArbitrum"
"id","ID","PoolContract","balancerArbitrum"
"pool","Pool","PoolContract","balancerArbitrum"
"id","ID","PoolHistoricalLiquidity","balancerArbitrum"
"poolId","Pool","PoolHistoricalLiquidity","balancerArbitrum"
"poolTotalShares","BigDecimal","PoolHistoricalLiquidity","balancerArbitrum"
"poolLiquidity","BigDecimal","PoolHistoricalLiquidity","balancerArbitrum"
"poolShareValue","BigDecimal","PoolHistoricalLiquidity","balancerArbitrum"
"pricingAsset","Bytes","PoolHistoricalLiquidity","balancerArbitrum"
"block","BigInt","PoolHistoricalLiquidity","balancerArbitrum"
"id","ID","PoolShare","balancerArbitrum"
"userAddress","User","PoolShare","balancerArbitrum"
"poolId","Pool","PoolShare","balancerArbitrum"
"balance","BigDecimal","PoolShare","balancerArbitrum"
"id","ID","PoolSnapshot","balancerArbitrum"
"pool","Pool","PoolSnapshot","balancerArbitrum"
"amounts","Unknown","PoolSnapshot","balancerArbitrum"
"totalShares","BigDecimal","PoolSnapshot","balancerArbitrum"
"swapVolume","BigDecimal","PoolSnapshot","balancerArbitrum"
"protocolFee","BigDecimal","PoolSnapshot","balancerArbitrum"
"swapFees","BigDecimal","PoolSnapshot","balancerArbitrum"
"liquidity","BigDecimal","PoolSnapshot","balancerArbitrum"
"swapsCount","BigInt","PoolSnapshot","balancerArbitrum"
"holdersCount","BigInt","PoolSnapshot","balancerArbitrum"
"timestamp","Int","PoolSnapshot","balancerArbitrum"
"id","ID","PoolToken","balancerArbitrum"
"poolId","Pool","PoolToken","balancerArbitrum"
"token","Token","PoolToken","balancerArbitrum"
"assetManager","Bytes","PoolToken","balancerArbitrum"
"symbol","String","PoolToken","balancerArbitrum"
"name","String","PoolToken","balancerArbitrum"
"decimals","Int","PoolToken","balancerArbitrum"
"index","Int","PoolToken","balancerArbitrum"
"address","String","PoolToken","balancerArbitrum"
"oldPriceRate","BigDecimal","PoolToken","balancerArbitrum"
"priceRate","BigDecimal","PoolToken","balancerArbitrum"
"balance","BigDecimal","PoolToken","balancerArbitrum"
"paidProtocolFees","BigDecimal","PoolToken","balancerArbitrum"
"cashBalance","BigDecimal","PoolToken","balancerArbitrum"
"managedBalance","BigDecimal","PoolToken","balancerArbitrum"
"managements","Unknown","PoolToken","balancerArbitrum"
"weight","BigDecimal","PoolToken","balancerArbitrum"
"isExemptFromYieldProtocolFee","Boolean","PoolToken","balancerArbitrum"
"circuitBreaker","CircuitBreaker","PoolToken","balancerArbitrum"
"id","ID","PriceRateProvider","balancerArbitrum"
"poolId","Pool","PriceRateProvider","balancerArbitrum"
"token","PoolToken","PriceRateProvider","balancerArbitrum"
"address","Bytes","PriceRateProvider","balancerArbitrum"
"rate","BigDecimal","PriceRateProvider","balancerArbitrum"
"lastCached","Int","PriceRateProvider","balancerArbitrum"
"cacheDuration","Int","PriceRateProvider","balancerArbitrum"
"cacheExpiry","Int","PriceRateProvider","balancerArbitrum"
"id","ID","ProtocolIdData","balancerArbitrum"
"name","String","ProtocolIdData","balancerArbitrum"
"balancer","Balancer","Query","balancerArbitrum"
"balancers","Unknown","Query","balancerArbitrum"
"pool","Pool","Query","balancerArbitrum"
"pools","Unknown","Query","balancerArbitrum"
"poolContract","PoolContract","Query","balancerArbitrum"
"poolContracts","Unknown","Query","balancerArbitrum"
"poolToken","PoolToken","Query","balancerArbitrum"
"poolTokens","Unknown","Query","balancerArbitrum"
"priceRateProvider","PriceRateProvider","Query","balancerArbitrum"
"priceRateProviders","Unknown","Query","balancerArbitrum"
"circuitBreaker","CircuitBreaker","Query","balancerArbitrum"
"circuitBreakers","Unknown","Query","balancerArbitrum"
"poolShare","PoolShare","Query","balancerArbitrum"
"poolShares","Unknown","Query","balancerArbitrum"
"user","User","Query","balancerArbitrum"
"users","Unknown","Query","balancerArbitrum"
"userInternalBalance","UserInternalBalance","Query","balancerArbitrum"
"userInternalBalances","Unknown","Query","balancerArbitrum"
"gradualWeightUpdate","GradualWeightUpdate","Query","balancerArbitrum"
"gradualWeightUpdates","Unknown","Query","balancerArbitrum"
"ampUpdate","AmpUpdate","Query","balancerArbitrum"
"ampUpdates","Unknown","Query","balancerArbitrum"
"swapFeeUpdate","SwapFeeUpdate","Query","balancerArbitrum"
"swapFeeUpdates","Unknown","Query","balancerArbitrum"
"swap","Swap","Query","balancerArbitrum"
"swaps","Unknown","Query","balancerArbitrum"
"joinExit","JoinExit","Query","balancerArbitrum"
"joinExits","Unknown","Query","balancerArbitrum"
"latestPrice","LatestPrice","Query","balancerArbitrum"
"latestPrices","Unknown","Query","balancerArbitrum"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Query","balancerArbitrum"
"poolHistoricalLiquidities","Unknown","Query","balancerArbitrum"
"tokenPrice","TokenPrice","Query","balancerArbitrum"
"tokenPrices","Unknown","Query","balancerArbitrum"
"managementOperation","ManagementOperation","Query","balancerArbitrum"
"managementOperations","Unknown","Query","balancerArbitrum"
"poolSnapshot","PoolSnapshot","Query","balancerArbitrum"
"poolSnapshots","Unknown","Query","balancerArbitrum"
"token","Token","Query","balancerArbitrum"
"tokens","Unknown","Query","balancerArbitrum"
"tokenSnapshot","TokenSnapshot","Query","balancerArbitrum"
"tokenSnapshots","Unknown","Query","balancerArbitrum"
"tradePair","TradePair","Query","balancerArbitrum"
"tradePairs","Unknown","Query","balancerArbitrum"
"tradePairSnapshot","TradePairSnapshot","Query","balancerArbitrum"
"tradePairSnapshots","Unknown","Query","balancerArbitrum"
"balancerSnapshot","BalancerSnapshot","Query","balancerArbitrum"
"balancerSnapshots","Unknown","Query","balancerArbitrum"
"protocolIdData","ProtocolIdData","Query","balancerArbitrum"
"protocolIdDatas","Unknown","Query","balancerArbitrum"
"fxoracle","FXOracle","Query","balancerArbitrum"
"fxoracles","Unknown","Query","balancerArbitrum"
"_meta","_Meta_","Query","balancerArbitrum"
"balancer","Balancer","Subscription","balancerArbitrum"
"balancers","Unknown","Subscription","balancerArbitrum"
"pool","Pool","Subscription","balancerArbitrum"
"pools","Unknown","Subscription","balancerArbitrum"
"poolContract","PoolContract","Subscription","balancerArbitrum"
"poolContracts","Unknown","Subscription","balancerArbitrum"
"poolToken","PoolToken","Subscription","balancerArbitrum"
"poolTokens","Unknown","Subscription","balancerArbitrum"
"priceRateProvider","PriceRateProvider","Subscription","balancerArbitrum"
"priceRateProviders","Unknown","Subscription","balancerArbitrum"
"circuitBreaker","CircuitBreaker","Subscription","balancerArbitrum"
"circuitBreakers","Unknown","Subscription","balancerArbitrum"
"poolShare","PoolShare","Subscription","balancerArbitrum"
"poolShares","Unknown","Subscription","balancerArbitrum"
"user","User","Subscription","balancerArbitrum"
"users","Unknown","Subscription","balancerArbitrum"
"userInternalBalance","UserInternalBalance","Subscription","balancerArbitrum"
"userInternalBalances","Unknown","Subscription","balancerArbitrum"
"gradualWeightUpdate","GradualWeightUpdate","Subscription","balancerArbitrum"
"gradualWeightUpdates","Unknown","Subscription","balancerArbitrum"
"ampUpdate","AmpUpdate","Subscription","balancerArbitrum"
"ampUpdates","Unknown","Subscription","balancerArbitrum"
"swapFeeUpdate","SwapFeeUpdate","Subscription","balancerArbitrum"
"swapFeeUpdates","Unknown","Subscription","balancerArbitrum"
"swap","Swap","Subscription","balancerArbitrum"
"swaps","Unknown","Subscription","balancerArbitrum"
"joinExit","JoinExit","Subscription","balancerArbitrum"
"joinExits","Unknown","Subscription","balancerArbitrum"
"latestPrice","LatestPrice","Subscription","balancerArbitrum"
"latestPrices","Unknown","Subscription","balancerArbitrum"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Subscription","balancerArbitrum"
"poolHistoricalLiquidities","Unknown","Subscription","balancerArbitrum"
"tokenPrice","TokenPrice","Subscription","balancerArbitrum"
"tokenPrices","Unknown","Subscription","balancerArbitrum"
"managementOperation","ManagementOperation","Subscription","balancerArbitrum"
"managementOperations","Unknown","Subscription","balancerArbitrum"
"poolSnapshot","PoolSnapshot","Subscription","balancerArbitrum"
"poolSnapshots","Unknown","Subscription","balancerArbitrum"
"token","Token","Subscription","balancerArbitrum"
"tokens","Unknown","Subscription","balancerArbitrum"
"tokenSnapshot","TokenSnapshot","Subscription","balancerArbitrum"
"tokenSnapshots","Unknown","Subscription","balancerArbitrum"
"tradePair","TradePair","Subscription","balancerArbitrum"
"tradePairs","Unknown","Subscription","balancerArbitrum"
"tradePairSnapshot","TradePairSnapshot","Subscription","balancerArbitrum"
"tradePairSnapshots","Unknown","Subscription","balancerArbitrum"
"balancerSnapshot","BalancerSnapshot","Subscription","balancerArbitrum"
"balancerSnapshots","Unknown","Subscription","balancerArbitrum"
"protocolIdData","ProtocolIdData","Subscription","balancerArbitrum"
"protocolIdDatas","Unknown","Subscription","balancerArbitrum"
"fxoracle","FXOracle","Subscription","balancerArbitrum"
"fxoracles","Unknown","Subscription","balancerArbitrum"
"_meta","_Meta_","Subscription","balancerArbitrum"
"id","ID","Swap","balancerArbitrum"
"caller","Bytes","Swap","balancerArbitrum"
"tokenIn","Bytes","Swap","balancerArbitrum"
"tokenInSym","String","Swap","balancerArbitrum"
"tokenOut","Bytes","Swap","balancerArbitrum"
"tokenOutSym","String","Swap","balancerArbitrum"
"tokenAmountIn","BigDecimal","Swap","balancerArbitrum"
"tokenAmountOut","BigDecimal","Swap","balancerArbitrum"
"valueUSD","BigDecimal","Swap","balancerArbitrum"
"poolId","Pool","Swap","balancerArbitrum"
"userAddress","User","Swap","balancerArbitrum"
"timestamp","Int","Swap","balancerArbitrum"
"block","BigInt","Swap","balancerArbitrum"
"tx","Bytes","Swap","balancerArbitrum"
"id","ID","SwapFeeUpdate","balancerArbitrum"
"pool","Pool","SwapFeeUpdate","balancerArbitrum"
"scheduledTimestamp","Int","SwapFeeUpdate","balancerArbitrum"
"startTimestamp","BigInt","SwapFeeUpdate","balancerArbitrum"
"endTimestamp","BigInt","SwapFeeUpdate","balancerArbitrum"
"startSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerArbitrum"
"endSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerArbitrum"
"id","ID","Token","balancerArbitrum"
"symbol","String","Token","balancerArbitrum"
"name","String","Token","balancerArbitrum"
"decimals","Int","Token","balancerArbitrum"
"address","String","Token","balancerArbitrum"
"totalBalanceUSD","BigDecimal","Token","balancerArbitrum"
"totalBalanceNotional","BigDecimal","Token","balancerArbitrum"
"totalVolumeUSD","BigDecimal","Token","balancerArbitrum"
"totalVolumeNotional","BigDecimal","Token","balancerArbitrum"
"totalSwapCount","BigInt","Token","balancerArbitrum"
"latestPrice","LatestPrice","Token","balancerArbitrum"
"latestUSDPrice","BigDecimal","Token","balancerArbitrum"
"latestUSDPriceTimestamp","BigInt","Token","balancerArbitrum"
"latestFXPrice","BigDecimal","Token","balancerArbitrum"
"pool","Pool","Token","balancerArbitrum"
"fxOracleDecimals","Int","Token","balancerArbitrum"
"id","ID","TokenPrice","balancerArbitrum"
"poolId","Pool","TokenPrice","balancerArbitrum"
"asset","Bytes","TokenPrice","balancerArbitrum"
"amount","BigDecimal","TokenPrice","balancerArbitrum"
"pricingAsset","Bytes","TokenPrice","balancerArbitrum"
"price","BigDecimal","TokenPrice","balancerArbitrum"
"block","BigInt","TokenPrice","balancerArbitrum"
"timestamp","Int","TokenPrice","balancerArbitrum"
"id","ID","TokenSnapshot","balancerArbitrum"
"token","Token","TokenSnapshot","balancerArbitrum"
"timestamp","Int","TokenSnapshot","balancerArbitrum"
"totalBalanceUSD","BigDecimal","TokenSnapshot","balancerArbitrum"
"totalBalanceNotional","BigDecimal","TokenSnapshot","balancerArbitrum"
