timestamp,chain,pair,buy_venue,sell_venue,buy_price,sell_price,spread_bps,fee_bps,gross_edge_bps,net_edge_bps,trade_size_usd,gross_profit_usd,net_profit_usd,aave_fee_usd,gas_usd,decision,would_revert,mode
2026-02-21 08:11:07,arbitrum,ETH/USDT,curve,uniswap_v3,1962.399976,1964.422063,10.3042,10,0.3042,-4.9,1000.0,1.0304,-0.4896,0.5,0.02,SKIP,True,SHADOW
2026-02-21 08:12:07,arbitrum,ETH/USDT,curve,uniswap_v3,1962.399976,1964.422063,10.3042,10,0.3042,-4.9,1000.0,1.0304,-0.4896,0.5,0.02,SKIP,True,SHADOW
2026-02-21 08:13:07,arbitrum,ETH/USDT,curve,uniswap_v3,1962.399976,1964.422063,10.3042,10,0.3042,-4.9,1000.0,1.0304,-0.4896,0.5,0.02,SKIP,True,SHADOW
2026-02-21 08:55:07,arbitrum,ETH/USDT,curve,uniswap_v3,1964.710283,1966.962746,11.4646,10,1.4646,-3.74,1000.0,1.1465,-0.3735,0.5,0.02,SKIP,True,SHADOW
2026-02-21 08:58:07,arbitrum,ETH/USDT,curve,uniswap_v3,1965.354869,1967.42468,10.5315,10,0.5315,-4.67,1000.0,1.0531,-0.4669,0.5,0.02,SKIP,True,SHADOW
2026-02-21 08:59:07,arbitrum,ETH/USDT,curve,uniswap_v3,1965.722396,1970.404591,23.8192,10,13.8192,8.62,1000.0,2.3819,0.8619,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:00:07,arbitrum,ETH/USDT,curve,uniswap_v3,1965.765704,1969.786782,20.4555,10,10.4555,5.26,1000.0,2.0455,0.5255,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:01:07,arbitrum,ETH/USDT,curve,uniswap_v3,1965.765704,1969.786782,20.4555,10,10.4555,5.26,1000.0,2.0455,0.5255,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:02:08,arbitrum,ETH/USDT,curve,uniswap_v3,1965.765704,1969.782001,20.4312,10,10.4312,5.23,1000.0,2.0431,0.5231,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:03:08,arbitrum,ETH/USDT,curve,uniswap_v3,1965.765704,1968.917788,16.0349,10,6.0349,0.83,1000.0,1.6035,0.0835,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:04:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.257803,13.6354,10,3.6354,-1.56,1000.0,1.3635,-0.1565,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:05:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.175851,13.2187,10,3.2187,-1.98,1000.0,1.3219,-0.1981,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:06:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.175851,13.2187,10,3.2187,-1.98,1000.0,1.3219,-0.1981,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:07:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.175851,13.2187,10,3.2187,-1.98,1000.0,1.3219,-0.1981,0.5,0.02,SKIP,True,SHADOW
