Type,Field,Description,FieldType,FieldKind
Flash,id,,ID,NON_NULL
Flash,transaction,,Transaction,NON_NULL
Flash,timestamp,,BigInt,NON_NULL
Flash,pool,,Pool,NON_NULL
Flash,sender,,Bytes,NON_NULL
Flash,recipient,,Bytes,NON_NULL
Flash,amount0,,BigDecimal,NON_NULL
Flash,amount1,,BigDecimal,NON_NULL
Flash,amountUSD,,BigDecimal,NON_NULL
Flash,amount0Paid,,BigDecimal,NON_NULL
Flash,amount1Paid,,BigDecimal,NON_NULL
Flash,logIndex,,BigInt,SCALAR
